customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
CUS_00001,UNIQ_00001,974001,Thanh Hoa,TH
CUS_00002,UNIQ_00002,964284,Ha Noi,HN
CUS_00003,UNIQ_00003,853487,Hai Phong,HP
CUS_00004,UNIQ_00004,719629,Da Nang,DN
CUS_00005,UNIQ_00005,725138,Ho Chi Minh,HCM
CUS_00006,UNIQ_00006,831073,Thu Duc,TD
CUS_00007,UNIQ_00007,704075,Hai Phong,HP
CUS_00008,UNIQ_00008,906164,Vinh,VINH
CUS_00009,UNIQ_00009,818907,Thanh Hoa,TH
CUS_00010,UNIQ_00010,928159,Ho Chi Minh,HCM
CUS_00011,UNIQ_00011,899947,Ho Chi Minh,HCM
CUS_00012,UNIQ_00012,759602,Nha Trang,NT
CUS_00013,UNIQ_00013,721057,Ha Noi,HN
CUS_00014,UNIQ_00014,824414,Buon Ma Thuot,BMT
CUS_00015,UNIQ_00015,788746,Ha Noi,HN
CUS_00016,UNIQ_00016,943039,Bien Hoa,BH
CUS_00017,UNIQ_00017,905367,Can Tho,CT
CUS_00018,UNIQ_00018,779486,Vinh,VINH
CUS_00019,UNIQ_00019,762003,Nha Trang,NT
CUS_00020,UNIQ_00020,832578,Nha Trang,NT
CUS_00021,UNIQ_00021,760105,Buon Ma Thuot,BMT
CUS_00022,UNIQ_00022,808040,Thanh Hoa,TH
CUS_00023,UNIQ_00023,938760,Hue,HUE
CUS_00024,UNIQ_00024,933447,Nha Trang,NT
CUS_00025,UNIQ_00025,801193,Nha Trang,NT
CUS_00026,UNIQ_00026,735251,Ha Noi,HN
CUS_00027,UNIQ_00027,732802,Hai Phong,HP
CUS_00028,UNIQ_00028,892151,Vinh,VINH
CUS_00029,UNIQ_00029,930519,Da Nang,DN
CUS_00030,UNIQ_00030,873818,Ha Noi,HN
CUS_00031,UNIQ_00031,761944,Ha Noi,HN
CUS_00032,UNIQ_00032,719505,Hai Phong,HP
CUS_00033,UNIQ_00033,892147,Nha Trang,NT
CUS_00034,UNIQ_00034,744445,Hue,HUE
CUS_00035,UNIQ_00035,792579,Thanh Hoa,TH
CUS_00036,UNIQ_00036,791195,Thu Duc,TD
CUS_00037,UNIQ_00037,826057,Ho Chi Minh,HCM
CUS_00038,UNIQ_00038,875564,Nha Trang,NT
CUS_00039,UNIQ_00039,942471,Vinh,VINH
