order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD_00001,1,debit_card,5,986472.08
ORD_00002,1,credit_card,2,854579.02
ORD_00003,1,debit_card,3,1714007.49
ORD_00004,1,boleto,2,1395503.61
ORD_00005,1,credit_card,1,3685590.91
ORD_00006,1,debit_card,1,1205378.25
ORD_00007,1,credit_card,4,2486167.95
ORD_00008,1,debit_card,5,4677878.68
ORD_00009,1,credit_card,1,848275.1
ORD_00010,1,credit_card,1,3171755.83
ORD_00011,1,credit_card,1,753845.94
ORD_00012,1,credit_card,4,4037092.11
ORD_00013,1,credit_card,6,675284.45
ORD_00014,1,credit_card,5,5197240.7
ORD_00015,1,boleto,1,2211426.28
ORD_00016,1,credit_card,3,3115080.13
ORD_00017,1,credit_card,4,5858043.87
ORD_00018,1,boleto,6,3255362.22
ORD_00019,1,boleto,1,3802014.94
ORD_00020,1,credit_card,1,3215698.42
ORD_00021,1,voucher,4,2356398.66
ORD_00022,1,credit_card,4,7600000.0
ORD_00023,1,credit_card,2,3690110.78
ORD_00024,1,debit_card,4,2164144.18
ORD_00025,1,credit_card,4,4120814.34
ORD_00026,1,credit_card,5,1859838.27
ORD_00027,1,voucher,5,1173419.05
ORD_00028,1,credit_card,6,2184474.5
ORD_00029,1,credit_card,1,851196.28
ORD_00030,1,credit_card,5,1528939.76
ORD_00031,1,voucher,4,2795351.21
ORD_00032,1,credit_card,4,1659706.11
ORD_00033,1,credit_card,6,1373579.61
ORD_00034,1,boleto,5,2906173.93
ORD_00035,1,credit_card,1,1977872.96
ORD_00036,1,credit_card,1,2868219.29
ORD_00037,1,boleto,2,3985763.1
ORD_00038,1,boleto,1,2959574.04
ORD_00039,1,boleto,1,1813306.45
ORD_00040,1,credit_card,1,1147256.2
ORD_00041,1,voucher,1,5159263.83
ORD_00042,1,credit_card,1,1863529.84
ORD_00043,1,voucher,3,2356897.16
ORD_00044,1,credit_card,4,2739286.26
ORD_00045,1,credit_card,1,1829913.97
ORD_00046,1,credit_card,5,1052670.69
ORD_00047,1,credit_card,2,2006981.53
ORD_00048,1,boleto,2,3252382.27
ORD_00049,1,credit_card,3,1449905.92
ORD_00050,1,credit_card,1,6274820.96
ORD_00051,1,credit_card,1,1789855.34
ORD_00052,1,voucher,4,7190162.72
ORD_00053,1,credit_card,6,2895301.17
ORD_00054,1,credit_card,3,6775792.79
ORD_00055,1,credit_card,6,2015092.29
ORD_00056,1,credit_card,1,1478598.94
ORD_00057,1,credit_card,2,625838.31
ORD_00058,1,debit_card,2,1822462.16
ORD_00059,1,boleto,6,1085850.58
ORD_00060,1,debit_card,2,1892868.35
ORD_00061,1,credit_card,1,2728662.27
ORD_00062,1,credit_card,3,1853008.51
ORD_00063,1,boleto,1,3039482.05
ORD_00064,1,credit_card,2,2007559.88
ORD_00065,1,credit_card,4,2180765.26
ORD_00066,1,credit_card,1,1904090.71
ORD_00067,1,credit_card,2,2136479.16
ORD_00068,1,credit_card,2,2887161.28
ORD_00069,1,credit_card,1,1668784.77
ORD_00070,1,credit_card,1,3258184.17
ORD_00071,1,credit_card,1,2104403.21
ORD_00072,1,credit_card,1,1236284.21
ORD_00073,1,boleto,3,1603811.72
ORD_00074,1,credit_card,1,4071829.62
ORD_00075,1,boleto,2,1780122.73
ORD_00076,1,credit_card,1,1474431.89
ORD_00077,1,boleto,2,1755068.52
ORD_00078,1,credit_card,4,3465194.07
ORD_00079,1,debit_card,1,5185016.35
ORD_00080,1,boleto,4,3108415.15
ORD_00081,1,credit_card,4,1314011.53
ORD_00082,1,voucher,1,1761968.97
ORD_00083,1,credit_card,3,2096493.05
ORD_00084,1,debit_card,1,2987176.74
ORD_00085,1,boleto,1,2323596.27
ORD_00086,1,voucher,2,4338340.34
ORD_00087,1,credit_card,1,3542121.17
ORD_00088,1,credit_card,1,1403137.79
ORD_00089,1,voucher,1,3437428.22
ORD_00090,1,credit_card,1,4166084.82
ORD_00091,1,credit_card,1,1567673.79
ORD_00092,1,credit_card,1,1427716.99
ORD_00093,1,credit_card,6,1435812.21
ORD_00094,1,credit_card,5,907264.45
ORD_00095,1,boleto,1,5711480.98
ORD_00096,1,credit_card,5,809888.29
ORD_00097,1,debit_card,1,2500436.62
ORD_00098,1,debit_card,3,1747006.87
ORD_00099,1,boleto,2,3123751.77
ORD_00100,1,credit_card,6,1912185.47
ORD_00101,1,boleto,6,4177706.37
ORD_00102,1,credit_card,2,3338715.63
ORD_00103,1,voucher,3,4397987.59
ORD_00104,1,credit_card,1,2561527.87
ORD_00105,1,voucher,2,1074481.1
ORD_00106,1,credit_card,1,2501820.63
ORD_00107,1,credit_card,1,1718850.96
ORD_00108,1,debit_card,6,6395120.38
ORD_00109,1,credit_card,4,1680342.7
ORD_00110,1,boleto,5,4251159.76
ORD_00111,1,credit_card,1,1909273.22
ORD_00112,1,credit_card,2,2122018.69
ORD_00113,1,credit_card,1,2585373.99
ORD_00114,1,credit_card,1,3786683.14
ORD_00115,1,credit_card,3,2842490.62
ORD_00116,1,credit_card,1,746438.29
ORD_00117,1,voucher,1,2678911.5
ORD_00118,1,credit_card,1,692540.57
ORD_00119,1,credit_card,3,2444290.08
ORD_00120,1,voucher,2,3609998.6
ORD_00121,1,debit_card,1,1008960.33
ORD_00122,1,credit_card,1,647893.74
ORD_00123,1,boleto,1,1474578.96
ORD_00124,1,debit_card,6,2230591.96
ORD_00125,1,credit_card,5,1803390.16
ORD_00126,1,credit_card,2,2315669.06
ORD_00127,1,boleto,1,2853597.07
ORD_00128,1,credit_card,3,2835932.99
ORD_00129,1,credit_card,1,3141889.55
ORD_00130,1,boleto,3,1615527.45
ORD_00131,1,credit_card,3,1284058.16
ORD_00132,1,credit_card,5,3044760.52
ORD_00133,1,debit_card,2,1183748.0
ORD_00134,1,voucher,1,1101967.59
ORD_00135,1,credit_card,1,2940810.99
ORD_00136,1,credit_card,1,1296376.52
ORD_00137,1,credit_card,5,5407654.59
ORD_00138,1,voucher,1,2521011.55
ORD_00139,1,credit_card,4,1760953.39
ORD_00140,1,credit_card,4,2025365.22
ORD_00141,1,voucher,5,2936609.44
ORD_00142,1,boleto,5,1126451.58
ORD_00143,1,boleto,1,1766796.31
ORD_00144,1,credit_card,1,2168331.0
ORD_00145,1,credit_card,1,2636468.1
ORD_00146,1,credit_card,1,2478472.4
ORD_00147,1,credit_card,1,890213.06
ORD_00148,1,boleto,2,1803689.53
ORD_00149,1,credit_card,5,3695870.93
ORD_00150,1,credit_card,2,1317213.07
ORD_00151,1,credit_card,1,2120505.46
ORD_00152,1,boleto,1,3057753.93
ORD_00153,1,credit_card,3,1504497.91
ORD_00154,1,voucher,1,2420778.91
ORD_00155,1,boleto,5,1496075.24
ORD_00156,1,voucher,6,2844259.83
ORD_00157,1,credit_card,5,1705302.79
ORD_00158,1,credit_card,4,3591391.73
ORD_00159,1,credit_card,1,1492401.42
ORD_00160,1,credit_card,4,4147657.36
ORD_00161,1,credit_card,4,2985992.8
ORD_00162,1,credit_card,1,1682251.36
ORD_00163,1,credit_card,4,1893526.07
ORD_00164,1,credit_card,1,1670698.43
ORD_00165,1,credit_card,5,3194235.26
ORD_00166,1,boleto,4,1683685.26
ORD_00167,1,credit_card,6,1816164.0
ORD_00168,1,voucher,4,2074964.63
ORD_00169,1,boleto,1,1502506.52
ORD_00170,1,credit_card,4,6282888.58
ORD_00171,1,credit_card,1,1574692.05
ORD_00172,1,boleto,1,2039970.5
ORD_00173,1,credit_card,1,1942415.91
ORD_00174,1,credit_card,2,3767281.41
ORD_00175,1,debit_card,1,1524667.52
ORD_00176,1,credit_card,3,1437315.69
ORD_00177,1,credit_card,2,1375750.75
ORD_00178,1,credit_card,1,1010562.68
ORD_00179,1,credit_card,1,2300792.38
ORD_00180,1,credit_card,3,2952868.47
ORD_00181,1,credit_card,2,3347083.09
ORD_00182,1,credit_card,1,1587829.47
ORD_00183,1,boleto,1,4615958.24
ORD_00184,1,debit_card,1,1680208.6
ORD_00185,1,credit_card,2,2946117.36
ORD_00186,1,credit_card,1,2677266.71
ORD_00187,1,credit_card,1,1905306.48
ORD_00188,1,boleto,4,575856.69
ORD_00189,1,boleto,1,4445558.73
ORD_00190,1,debit_card,1,1030910.66
ORD_00191,1,credit_card,1,1401651.33
ORD_00192,1,boleto,5,3191162.1
ORD_00193,1,credit_card,5,1463154.49
ORD_00194,1,credit_card,1,968843.2
ORD_00195,1,credit_card,4,1489226.44
ORD_00196,1,credit_card,3,1893518.77
ORD_00197,1,boleto,3,1635571.82
ORD_00198,1,credit_card,1,1811336.17
ORD_00199,1,credit_card,3,1421144.37
ORD_00200,1,credit_card,2,3388051.07
ORD_00201,1,credit_card,3,4185046.92
ORD_00202,1,debit_card,1,2021768.25
ORD_00203,1,debit_card,2,1390658.98
ORD_00204,1,voucher,6,2283837.88
ORD_00205,1,credit_card,1,704883.11
ORD_00206,1,credit_card,1,1421619.15
ORD_00207,1,credit_card,1,1095988.7
ORD_00208,1,boleto,3,1242704.18
ORD_00209,1,credit_card,6,1980025.44
ORD_00210,1,boleto,2,968506.51
ORD_00211,1,credit_card,1,2431017.34
ORD_00212,1,credit_card,3,5520062.3
ORD_00213,1,credit_card,1,1957941.64
ORD_00214,1,boleto,1,4047671.62
ORD_00215,1,debit_card,1,1121087.83
ORD_00216,1,credit_card,1,1999666.56
ORD_00217,1,credit_card,2,1899038.33
ORD_00218,1,voucher,4,3758872.36
ORD_00219,1,boleto,2,2979159.53
ORD_00220,1,credit_card,2,1547731.75
ORD_00221,1,boleto,5,1846090.54
ORD_00222,1,credit_card,3,4000029.63
ORD_00223,1,credit_card,4,1176280.77
ORD_00224,1,credit_card,1,1130599.52
ORD_00225,1,credit_card,1,936193.73
ORD_00226,1,voucher,2,2781723.64
ORD_00227,1,boleto,1,1686792.47
ORD_00228,1,credit_card,5,2112020.61
ORD_00229,1,credit_card,3,1058343.35
ORD_00230,1,voucher,1,3442894.08
ORD_00231,1,boleto,4,2690337.67
ORD_00232,1,voucher,1,1478624.84
ORD_00233,1,boleto,2,1805654.93
ORD_00234,1,debit_card,4,1205650.44
ORD_00235,1,credit_card,2,1554075.06
ORD_00236,1,credit_card,1,2323463.25
ORD_00237,1,credit_card,3,1055173.23
ORD_00238,1,credit_card,1,2362292.33
ORD_00239,1,boleto,3,2344350.63
ORD_00240,1,credit_card,4,1425856.04
ORD_00241,1,debit_card,3,3006963.69
ORD_00242,1,credit_card,1,3784926.68
ORD_00243,1,voucher,1,1464088.79
ORD_00244,1,boleto,1,1722861.66
ORD_00245,1,boleto,1,3074309.76
ORD_00246,1,credit_card,4,1724233.67
ORD_00247,1,voucher,6,3594215.55
ORD_00248,1,credit_card,1,1685169.2
ORD_00249,1,credit_card,2,2322676.83
ORD_00250,1,debit_card,3,2705068.58
ORD_00251,1,boleto,1,1479259.25
ORD_00252,1,credit_card,1,3302123.17
ORD_00253,1,boleto,2,4287687.93
ORD_00254,1,debit_card,5,2320311.18
ORD_00255,1,credit_card,6,1290867.86
ORD_00256,1,credit_card,4,1692181.88
ORD_00257,1,boleto,4,5941721.82
ORD_00258,1,credit_card,5,3089737.78
ORD_00259,1,credit_card,5,3325015.21
ORD_00260,1,credit_card,1,1029794.52
ORD_00261,1,credit_card,3,1141815.53
ORD_00262,1,credit_card,1,2163058.55
ORD_00263,1,voucher,2,4573593.87
ORD_00264,1,credit_card,1,2022439.77
ORD_00265,1,credit_card,4,2130341.03
ORD_00266,1,credit_card,4,4261353.47
ORD_00267,1,voucher,5,2014142.57
ORD_00268,1,voucher,3,1258146.61
ORD_00269,1,credit_card,6,2140840.99
ORD_00270,1,voucher,1,3548482.06
ORD_00271,1,credit_card,1,1667732.92
ORD_00272,1,boleto,5,534138.98
ORD_00273,1,boleto,5,2043680.1
ORD_00274,1,voucher,4,3766878.78
ORD_00275,1,boleto,4,1408808.67
ORD_00276,1,credit_card,1,1995180.29
ORD_00277,1,boleto,5,2434837.36
ORD_00278,1,voucher,6,2309170.98
ORD_00279,1,credit_card,2,3350962.87
ORD_00280,1,credit_card,5,1174300.27
ORD_00281,1,credit_card,4,1437169.43
ORD_00282,1,debit_card,1,2678334.45
ORD_00283,1,boleto,6,1187529.36
ORD_00284,1,debit_card,1,1690557.16
ORD_00285,1,credit_card,3,2394466.97
ORD_00286,1,credit_card,1,1228600.55
ORD_00287,1,credit_card,5,1821261.92
ORD_00288,1,boleto,1,1431575.33
ORD_00289,1,credit_card,3,3963866.57
ORD_00290,1,credit_card,2,1541161.94
ORD_00291,1,debit_card,1,1581543.39
ORD_00292,1,credit_card,2,2051938.73
ORD_00293,1,credit_card,2,2215964.45
ORD_00294,1,debit_card,1,2342391.96
ORD_00295,1,credit_card,1,4067774.42
ORD_00296,1,voucher,2,1954464.22
ORD_00297,1,credit_card,2,2528050.9
ORD_00298,1,credit_card,1,1267801.65
ORD_00299,1,voucher,6,4227896.53
ORD_00300,1,voucher,2,1957067.98
ORD_00301,1,boleto,3,1653877.1
ORD_00302,1,credit_card,1,4487973.43
ORD_00303,1,credit_card,4,1939740.49
ORD_00304,1,boleto,6,4101365.05
ORD_00305,1,credit_card,6,1709499.05
ORD_00306,1,credit_card,5,3168827.86
ORD_00307,1,credit_card,5,1799629.14
ORD_00308,1,credit_card,4,2754354.23
ORD_00309,1,credit_card,4,1061185.77
ORD_00310,1,credit_card,1,3795158.68
ORD_00311,1,credit_card,1,1405391.78
ORD_00312,1,voucher,1,3342879.15
ORD_00313,1,voucher,1,4415435.69
ORD_00314,1,credit_card,6,3699159.59
ORD_00315,1,boleto,1,1632706.04
ORD_00316,1,credit_card,1,3853550.02
ORD_00317,1,credit_card,1,2683889.28
ORD_00318,1,boleto,1,1074307.78
ORD_00319,1,boleto,1,2816938.68
ORD_00320,1,credit_card,1,955082.07
ORD_00321,1,credit_card,1,1673308.15
ORD_00322,1,debit_card,3,3167968.79
ORD_00323,1,credit_card,3,964756.12
ORD_00324,1,credit_card,1,2865011.93
ORD_00325,1,boleto,3,1783119.35
ORD_00326,1,credit_card,1,1396042.94
ORD_00327,1,debit_card,1,2615412.24
ORD_00328,1,credit_card,5,1185624.47
ORD_00329,1,voucher,2,2604711.12
ORD_00330,1,credit_card,1,3470867.48
ORD_00331,1,credit_card,1,3196762.55
ORD_00332,1,credit_card,1,3113454.47
ORD_00333,1,credit_card,5,1552597.97
ORD_00334,1,credit_card,6,1245606.81
ORD_00335,1,credit_card,1,1386320.57
ORD_00336,1,credit_card,6,2675797.66
ORD_00337,1,credit_card,1,1861816.12
ORD_00338,1,voucher,1,1479064.53
ORD_00339,1,debit_card,3,3162602.76
ORD_00340,1,boleto,6,2280748.73
ORD_00341,1,boleto,3,2526523.36
ORD_00342,1,boleto,3,2182430.72
ORD_00343,1,voucher,2,1573120.88
ORD_00344,1,credit_card,1,1720417.31
ORD_00345,1,credit_card,3,2564682.51
ORD_00346,1,boleto,2,1871345.57
ORD_00347,1,credit_card,1,1136987.6
ORD_00348,1,voucher,1,2215562.42
ORD_00349,1,debit_card,5,1776808.88
ORD_00350,1,credit_card,1,1277056.86
ORD_00351,1,credit_card,6,2574827.09
ORD_00352,1,credit_card,1,2411861.02
ORD_00353,1,credit_card,3,1317903.9
ORD_00354,1,credit_card,2,3400018.01
ORD_00355,1,voucher,4,2737807.52
ORD_00356,1,credit_card,1,2337195.16
ORD_00357,1,credit_card,2,1593500.83
ORD_00358,1,credit_card,3,1676809.79
ORD_00359,1,credit_card,2,2596099.46
ORD_00360,1,credit_card,2,1554877.51
ORD_00361,1,credit_card,1,3609860.97
ORD_00362,1,credit_card,4,2539766.39
ORD_00363,1,credit_card,1,2612890.48
ORD_00364,1,credit_card,5,1142159.35
ORD_00365,1,voucher,1,1396687.0
ORD_00366,1,credit_card,1,4449988.52
ORD_00367,1,voucher,1,2334636.49
ORD_00368,1,voucher,1,2636264.71
ORD_00369,1,boleto,4,5175162.64
ORD_00370,1,voucher,1,1639678.09
ORD_00371,1,voucher,2,1024057.95
ORD_00372,1,voucher,4,2083585.34
ORD_00373,1,credit_card,4,1834059.22
ORD_00374,1,voucher,1,7276446.41
ORD_00375,1,credit_card,4,669758.6
ORD_00376,1,credit_card,1,4808294.79
ORD_00377,1,credit_card,2,1280852.27
ORD_00378,1,credit_card,4,3518397.11
ORD_00379,1,boleto,1,2151935.33
ORD_00380,1,voucher,1,2242962.3
ORD_00381,1,boleto,5,2063949.97
ORD_00382,1,credit_card,6,2273780.01
ORD_00383,1,credit_card,2,1683938.6
ORD_00384,1,credit_card,2,1947669.98
ORD_00385,1,credit_card,1,815035.64
ORD_00386,1,credit_card,2,2862848.92
ORD_00387,1,credit_card,1,2677461.71
ORD_00388,1,credit_card,1,3708636.79
ORD_00389,1,boleto,2,1289693.84
ORD_00390,1,credit_card,3,1879696.33
ORD_00391,1,boleto,2,860963.3
ORD_00392,1,credit_card,1,2662693.58
ORD_00393,1,credit_card,2,1760963.8
ORD_00394,1,voucher,1,2854499.94
ORD_00395,1,voucher,1,1924252.86
ORD_00396,1,credit_card,4,4009887.82
ORD_00397,1,credit_card,1,3065555.69
ORD_00398,1,credit_card,3,1165566.43
ORD_00399,1,credit_card,1,3270868.03
ORD_00400,1,credit_card,1,1909537.67
ORD_00401,1,credit_card,3,1917588.31
ORD_00402,1,credit_card,4,2786209.27
ORD_00403,1,voucher,5,2652231.01
ORD_00404,1,credit_card,4,2041011.51
ORD_00405,1,credit_card,1,2203727.03
ORD_00406,1,credit_card,1,2027584.84
ORD_00407,1,credit_card,1,2651832.43
ORD_00408,1,credit_card,1,1184729.06
ORD_00409,1,credit_card,2,4137171.86
ORD_00410,1,credit_card,3,2352820.44
ORD_00411,1,credit_card,3,2924067.21
ORD_00412,1,credit_card,1,5271314.75
ORD_00413,1,credit_card,1,1382928.71
ORD_00414,1,credit_card,2,2109253.66
ORD_00415,1,credit_card,1,4061944.03
ORD_00416,1,debit_card,4,4490166.1
