review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
REV_00001,ORD_00001,1,Đánh giá tiêu cực,Sản phẩm không giống hình.,2024-02-06 13:23:10,2024-02-06 13:23:10
REV_00002,ORD_00002,3,Đánh giá trung bình,"Giao hàng chậm, chưa hài lòng lắm.",2023-03-19 22:39:37,2023-03-19 22:39:37
REV_00003,ORD_00003,5,Đánh giá tích cực,"Chất lượng tốt, sẽ ủng hộ lần sau.",2023-10-16 15:16:37,2023-10-18 15:16:37
REV_00004,ORD_00004,4,Đánh giá tích cực,"Hàng giao nhanh, đóng gói cẩn thận.",2023-01-25 05:19:26,2023-01-27 05:19:26
REV_00005,ORD_00005,1,Đánh giá tiêu cực,"Đóng gói sơ sài, bị móp méo.",2024-11-12 19:29:07,2024-11-17 19:29:07
REV_00006,ORD_00006,1,Đánh giá tiêu cực,Sản phẩm không giống hình.,2023-10-13 13:54:51,2023-10-13 13:54:51
REV_00007,ORD_00007,5,Đánh giá tích cực,"Chất lượng tốt, sẽ ủng hộ lần sau.",2024-07-26 03:57:28,2024-07-30 03:57:28
REV_00008,ORD_00008,5,Đánh giá tích cực,"Hàng giao nhanh, đóng gói cẩn thận.",2023-10-13 04:43:44,2023-10-16 04:43:44
REV_00009,ORD_00009,3,Đánh giá trung bình,"Giao hàng chậm, chưa hài lòng lắm.",2024-11-28 19:49:05,2024-11-28 19:49:05
REV_00010,ORD_00010,5,Đánh giá tích cực,"Sản phẩm đúng mô tả, rất hài lòng.",2023-03-26 08:17:15,2023-03-27 08:17:15
REV_00011,ORD_00011,4,Đánh giá tích cực,"Chất lượng tốt, sẽ ủng hộ lần sau.",2023-03-09 23:06:14,2023-03-10 23:06:14
REV_00012,ORD_00012,1,Đánh giá tiêu cực,"Đóng gói sơ sài, bị móp méo.",2024-10-17 03:04:01,2024-10-20 03:04:01
REV_00013,ORD_00013,3,Đánh giá trung bình,"Giao hàng chậm, chưa hài lòng lắm.",2023-03-27 02:19:32,2023-03-29 02:19:32
REV_00014,ORD_00014,2,Đánh giá tiêu cực,Sản phẩm không giống hình.,2024-01-15 19:33:00,2024-01-18 19:33:00
REV_00015,ORD_00015,4,Đánh giá tích cực,"Chất lượng tốt, sẽ ủng hộ lần sau.",2023-07-17 04:57:17,2023-07-18 04:57:17
REV_00016,ORD_00016,1,Đánh giá tiêu cực,"Đóng gói sơ sài, bị móp méo.",2023-08-05 06:57:00,2023-08-06 06:57:00
REV_00017,ORD_00017,5,Đánh giá tích cực,"Sản phẩm đúng mô tả, rất hài lòng.",2023-06-27 00:40:52,2023-06-28 00:40:52
