order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ORD_00001,CUS_04962,delivered,2024-01-01 08:01:00,2024-01-01 08:31:00,2024-01-02 08:31:00,2024-01-04 08:31:00,2024-01-08 08:01:00
ORD_00002,CUS_03873,delivered,2024-01-01 08:01:00,2024-01-01 08:31:00,2024-01-02 08:31:00,2024-01-04 08:31:00,2024-01-08 08:01:00
ORD_00003,CUS_04988,delivered,2024-01-01 08:06:00,2024-01-01 08:36:00,2024-01-02 08:36:00,2024-01-04 08:36:00,2024-01-08 08:06:00
ORD_00004,CUS_01594,delivered,2024-01-01 08:08:00,2024-01-01 08:38:00,2024-01-02 08:38:00,2024-01-04 08:38:00,2024-01-08 08:08:00
ORD_00005,CUS_00976,delivered,2024-01-01 08:13:00,2024-01-01 08:43:00,2024-01-02 08:43:00,2024-01-04 08:43:00,2024-01-08 08:13:00
ORD_00006,CUS_02787,delivered,2024-01-01 08:13:00,2024-01-01 08:43:00,2024-01-02 08:43:00,2024-01-04 08:43:00,2024-01-08 08:13:00
ORD_00007,CUS_00255,delivered,2024-01-01 08:17:00,2024-01-01 08:47:00,2024-01-02 08:47:00,2024-01-04 08:47:00,2024-01-08 08:17:00
ORD_00008,CUS_04908,delivered,2024-01-01 08:20:00,2024-01-01 08:50:00,2024-01-02 08:50:00,2024-01-04 08:50:00,2024-01-08 08:20:00
ORD_00009,CUS_04411,delivered,2024-01-01 08:24:00,2024-01-01 08:54:00,2024-01-02 08:54:00,2024-01-04 08:54:00,2024-01-08 08:24:00
ORD_00010,CUS_04035,delivered,2024-01-01 08:28:00,2024-01-01 08:58:00,2024-01-02 08:58:00,2024-01-04 08:58:00,2024-01-08 08:28:00
ORD_00011,CUS_04538,delivered,2024-01-01 08:28:00,2024-01-01 08:58:00,2024-01-02 08:58:00,2024-01-04 08:58:00,2024-01-08 08:28:00
ORD_00012,CUS_02038,delivered,2024-01-01 08:28:00,2024-01-01 08:58:00,2024-01-02 08:58:00,2024-01-04 08:58:00,2024-01-08 08:28:00
ORD_00013,CUS_02228,delivered,2024-01-01 08:30:00,2024-01-01 09:00:00,2024-01-02 09:00:00,2024-01-04 09:00:00,2024-01-08 08:30:00
ORD_00014,CUS_00079,delivered,2024-01-01 08:30:00,2024-01-01 09:00:00,2024-01-02 09:00:00,2024-01-04 09:00:00,2024-01-08 08:30:00
ORD_00015,CUS_02948,delivered,2024-01-01 08:31:00,2024-01-01 09:01:00,2024-01-02 09:01:00,2024-01-04 09:01:00,2024-01-08 08:31:00
ORD_00016,CUS_03470,delivered,2024-01-01 08:39:00,2024-01-01 09:09:00,2024-01-02 09:09:00,2024-01-04 09:09:00,2024-01-08 08:39:00
